"id_ib";"id_fun";"id_fm";"id_um";"str_nombre_ia";"txt_descripcion";"str_formula";"int_codigo_ib";"str_codigo_ib"
"1";"1";"637";"1";"Extensión de zonas intervenidas, mosaico y natural (EIMN)";"";"";"1";"Ambie001"
"2";"1";"638";"1";"Número de especies por clase taxonómica (NE)";"";"";"2";"Ambie004"
"3";"1";"639";"1";"Número de géneros por clase taxonómica (NG)";"";"";"3";"Ambie008"
"5";"1";"641";"";"Número de especies amenazadas (NEA)";"";"";"5";"Ambie002"
"6";"1";"642";"";"Número de géneros amenazados (NGA)";"";"";"6";"Ambie007"
"7";"1";"643";"";"Número de familias amenazadas (NFA)";"";"";"7";"Ambie005"
"8";"1";"644";"";"Número de especies introducidas (NEI)";"";"";"8";"Ambie003"
"9";"1";"645";"";"Uso del suelo (US)";"";"";"9";"Ambie009"
"10";"1";"646";"";"Accesibilidad directa (AD)";"";"";"10";"Ambie011"
"11";"1";"647";"";"Extensión de áreas protegidas (EAP)";"";"";"11";"Ambie012"
"12";"1";"648";"";"Extensión de bosques protectores (EBP)";"";"";"12";"Ambie013"
"13";"1";"596";"";"Proyectos comunitarios de crédito (Cajas solidarias y Bancos Comunales)";"";"";"13";"Accio032"
"14";"1";"594";"";"Proyectos comunitarios de desarrollo económico";"";"";"14";"Accio033"
"15";"1";"595";"";"Planes de desarrollo local y participación comunitaria";"";"";"15";"Accio016"
"16";"1";"591";"";"Comunidades beneficiarias de los programas sociales";"";"";"16";"Accio021"
"17";"1";"592";"";"Comunidades con proyectos comunitarios de desarrollo Social";"";"";"17";"Accio022"
"18";"1";"593";"";"Vías de acceso a las comunidades";"";"";"18";"Accio037"
"19";"1";"605";"";"Comunidades donde el cabildo es la máxima autoridad luego de la asamblea";"";"";"19";"Parti001"
"20";"1";"606";"";"Comunidades donde se desconoce sobre los derechos colectivos";"";"";"20";"Parti004"
"21";"1";"607";"";"Comunidades donde la sanción significa castigo";"";"";"21";"Parti002"
"22";"1";"608";"";"Comunidades donde la sanción significa ritual para curar o corregir";"";"";"22";"Parti003"
"23";"1";"601";"";"Comunidades que eligen a sus autoridades mediante asamblea";"";"";"23";"Parti005"
"24";"1";"604";"";"Nivel de confianza de las comunidades en las autoridades";"";"";"24";"Parti006"
"25";"1";"602";"";"Participación en las asambleas";"";"";"25";"Parti007"
"26";"1";"603";"";"Participación en las mingas";"";"";"26";"Parti008"
"27";"1";"599";"";"Venta de productos de las actividades económicas de las familias";"";"";"27";"Econo029"
"28";"1";"600";"";"Actividades económicas de las familias";"";"";"28";"Econo001"
"29";"1";"575";"";"Comunidades que demandan nuevas especializaciones en la secundaria";"";"";"29";"Educa021"
"30";"1";"573";"";"Comunidades con CECIB que revalorizan la cultura";"";"";"30";"Educa020"
"31";"1";"574";"";"Tipo de plantel que seleccionan los padres para los hijos en las comunidades";"";"";"31";"Educa081"
"32";"1";"425";"";"Idioma de las comunidades indígenas";"";"";"32";"Pobla010"
"33";"1";"597";"";"Migración en las comunidades";"";"";"33";"Pobla028"
"34";"1";"576";"";"Comunidades con: curanderos, hierbateros y comadronas";"";"";"34";"Salud033"
"35";"1";"577";"";"Atención de curanderos en las comunidades";"";"";"35";"Salud017"
"36";"1";"578";"";"Atención de parteras en las comunidades";"";"";"36";"Salud018"
"37";"1";"550";"";"Cumplimiento de normas de atención prenatal";"";"";"37";"Salud056"
"38";"1";"581";"";"Desnutrición aguda (peso para talla)";"";"";"38";"Salud059"
"39";"1";"542";"";"Esterilización femenina o ligadura";"";"";"39";"Salud094"
"40";"1";"378";"";"Control de cáncer de mamas";"";"";"40";"Salud049"
"41";"1";"590";"";"Maltrato físico antes de cumplir 15 años";"";"";"41";"Salud114"
"42";"1";"545";"";"Mujeres alguna vez embarazadas";"";"";"42";"Salud131"
"43";"1";"598";"";"Mujeres casadas o unidas";"";"";"43";"Salud132"
"44";"1";"582";"";"Mujeres con embarazo premarital";"";"";"44";"Salud133"
"45";"1";"583";"";"Mujeres con experiencia sexual";"";"";"45";"Salud134"
"46";"1";"584";"";"Mujeres jóvenes con experiencias sexuales premaritales";"";"";"46";"Salud135"
"47";"1";"585";"";"Mujeres que requieren servicios de planificación familiar";"";"";"47";"Salud136"
"48";"1";"586";"";"Partos vaginales";"";"";"48";"Salud157"
"49";"1";"551";"";"Percepción del riesgo a infectarse del VIH/SIDA";"";"";"49";"Salud160"
"50";"1";"541";"";"Examen del VIH/SIDA";"";"";"50";"Salud095"
"51";"1";"126";"";"Uso de anticonceptivos en la primera experiencia sexual premarital";"";"";"51";"Salud205"
"52";"1";"591";"";"Mujeres abusadas sexualmente";"";"";"52";"Salud130"
"53";"1";"579";"";"Comunidades con establecimientos de salud";"";"";"53";"Salud032"
"54";"1";"580";"";"Servicios que ofrecen los establecimientos de salud en las comunidades";"";"";"54";"Salud179"
"55";"1";"619";"";"Comunidades que poseen bosques nativos";"";"";"55";"Terri009"
"56";"1";"620";"";"Comunidades que poseen páramos";"";"";"56";"Terri010"
"57";"1";"621";"";"Comunidades según los protagonistas del manejo forestal";"";"";"57";"Terri012"
"58";"1";"622";"";"Comunidades que enfrentan conflictos por la propiedad de la tierra/territorio";"";"";"58";"Terri007"
"59";"1";"623";"";"Comunidades con disponibilidad de agua de riego para los cultivos";"";"";"59";"Terri004"
"60";"1";"624";"";"Comunidades con disponibilidad de tierras para uso comunitario";"";"";"60";"Terri005"
"61";"1";"625";"";"Comunidades con suelos destinados a la producción";"";"";"61";"Terri006"
"62";"1";"609";"";"Proyectos comunitarios de manejo ambiental y conservación de recursos";"";"";"62";"Terri016"
"63";"1";"614";"";"Proyectos comunitarios de ordenamiento territorial y beneficiarios";"";"";"63";"Terri017"
"64";"1";"615";"";"Formas de propiedad de la tierra/territorio en las comunidades";"";"";"64";"Terri013"
"65";"1";"616";"";"Comunidades que pagaron por la tierra en los procesos de legalización";"";"";"65";"Terri008"
"66";"1";"617";"";"Mecanismos de acceso a la tierra de las familias jóvenes en las comunidades";"";"";"66";"Terri015"
"67";"1";"618";"";"Mecanismo legal para el reconocimiento de la tierra / territorio de las comunidades";"";"";"67";"Terri014"
"68";"1";"610";"";"Comunidades con actividad petrolera cerca de o en sus territorios";"";"";"68";"Terri003"
"69";"1";"611";"";"Comunidades que tienen acuerdos con empresas petroleras";"";"";"69";"Terri011"
"70";"1";"612";"";"Comunidades a las que se les consulta previamente sobre las actividades petroleras";"";"";"70";"Terri002"
"71";"1";"613";"";"Beneficios e impactos en las comunidades que tienen actividad petrolera";"";"";"71";"Terri001"
"72";"1";"501";"";"Programa de Alimentación Escolar - PAE";"";"";"72";"Accio027"
"73";"1";"502";"";"Programa de Infraestructura Educativa - DINSE";"";"";"73";"Accio029"
"74";"1";"707";"";"Textos escolares";"Niños de 5 a 14 años que asisten a establecimientos fiscales que reciben textos escolares gratuitos. el Ministerio de Educación a partir del año lectivo 2007-2008 gestiona la entrega de textos escolares de calidad a los niños de 1ro. A 10mo. de Educación 疤Ỵ疥";"";"74";"Accio035"
"75";"1";"708";"";"Uniformes escolares";"Entrega gratuita de uniformes escolares para establecimientos de caracter fiscal y fiscomisional gratiutos, con el objetivo de contribuir a la eliminación de barreras de ingreso al sistema de educación. Proyecto ejecutado por la Coordinación General de Ad疤Ỵ疥";"";"75";"Accio036"
"76";"1";"318";"";"Programa Bono de Desarrollo Humano - BDH";"Son transferencias de recursos a los beneficiarios (madres, personas de tercera edad, discapacitados) a través de la red bancaria nacional. El BDH, es la ayuda monetaria, que el gobierno nacional realiza  a los hogares y personas vulnerables todos los mes疤Ỵ疥";"";"76";"Accio025"
"77";"1";"319";"";"Programa Aliméntate Ecuador";"";"";"77";"Accio023"
"78";"1";"321";"";"Crédito de Desarrollo Humano - CDH";"";"";"78";"Accio005"
"79";"1";"320";"";"Programas de Desarrollo Infantil";"Proveen a niños/as en condiciones de pobreza la oportunidad de recibir cuidado, educación preescolar y alimentación ; y dan a las madres con hijos/as pequeños la oportunidad de trabajar, tanto por la disponibilidad de tiempo cuanto por la posibilidad de i疤Ỵ疥";"";"79";"Accio031"
"80";"1";"316";"";"Hilando el Desarrollo";"";"";"80";"Accio010"
"81";"1";"317";"";"Nutriendo el Desarrollo";"";"";"81";"Accio015"
"82";"1";"315";"";"Servicio Ecuatoriano de Capacitación Profesional - SECAP";"";"";"82";"Accio034"
"83";"1";"311";"";"Programa de Complementación Alimentaria";"";"";"83";"Accio028"
"84";"1";"312";"";"Programa Ampliado de Inmunizaciones - PAI";"";"";"84";"Accio024"
"85";"1";"313";"";"Programa de maternidad gratuita y atención a la infancia - LMGYAI";"";"";"85";"Accio030"
"86";"1";"314";"";"Equipos básicos de salud";"";"";"86";"Accio008"
"87";"1";"322";"";"Programa de agua y saneamiento para comunidades rurales y pequeños municipios (PRAGUAS)";"";"";"87";"Accio026"
"88";"1";"323";"";"Bono de la vivienda - Urbana Marginal";"";"";"88";"Accio001"
"89";"1";"324";"";"Bono de la vivienda - Vivienda Rural";"";"";"89";"Accio002"
"90";"1";"325";"";"Bono de la vivienda - Vivienda Urbana";"";"";"90";"Accio003"
"91";"1";"285";"";"Dedicación de los niños/as a la televisión";"";"";"91";"Ciuda004"
"92";"1";"286";"";"Participación de los niños/as en organizaciones";"";"";"92";"Ciuda016"
"93";"1";"287";"";"Organización estudiantil";"";"";"93";"Ciuda015"
"94";"1";"288";"";"Actividad preferida de los niños/as durante el tiempo libre";"";"";"94";"Ciuda001"
"95";"1";"289";"";"Niños/as que pasan su tiempo libre en la calle";"";"";"95";"Ciuda014"
"96";"1";"290";"";"Trato de los profesores";"";"";"96";"Ciuda029"
"97";"1";"291";"";"Maltrato físico por los padres";"";"";"97";"Ciuda008"
"98";"1";"292";"";"Legitimidad del castigo físico entre los niños/as";"";"";"98";"Ciuda006"
"99";"1";"293";"";"Conocimiento de los niños/as sobre el abuso sexual";"";"";"99";"Ciuda002"
"100";"1";"294";"";"Conocimiento de sus derechos como niños/as";"";"";"100";"Ciuda003"
"101";"1";"295";"";"Respeto a la opinión de los niños/as en el hogar";"";"";"101";"Ciuda020"
"102";"1";"296";"";"Libertad de los niños/as de participar en actos religiosos";"";"";"102";"Ciuda007"
"103";"1";"297";"";"Sentido de responsabilidad sobre el trabajo escolar";"";"";"103";"Ciuda021"
"104";"1";"298";"";"Niños/as que han declarado ante un juez";"";"";"104";"Ciuda013"
"105";"1";"281";"";"Mujeres candidatas";"";"";"105";"Ciuda009"
"106";"1";"282";"";"Mujeres candidatas a la Asamblea Nacional";"";"";"106";"Ciuda010"
"107";"1";"283";"";"Mujeres elegidas a diversas dignidades";"";"";"107";"Ciuda012"
"108";"1";"284";"";"Mujeres elegidas";"";"";"108";"Ciuda011"
"109";"1";"299";"";"Hogares víctimas de delitos";"";"";"109";"Ciuda005"
"110";"1";"300";"";"Tasa de policías por habitantes";"";"";"110";"Ciuda028"
"111";"1";"301";"";"Tasa de denuncias de delitos contra la propiedad";"";"";"111";"Ciuda022"
"112";"1";"302";"";"Tasa de denuncias de delitos contra las personas";"";"";"112";"Ciuda024"
"113";"1";"303";"";"Tasa de denuncias de delitos contra la seguridad pública";"";"";"113";"Ciuda023"
"114";"1";"304";"";"Tasa de detenidos por delitos contra la propiedad";"";"";"114";"Ciuda025"
"115";"1";"305";"";"Tasa de detenidos por delitos contra las personas";"";"";"115";"Ciuda027"
"116";"1";"306";"";"Tasa de detenidos por delitos contra la seguridad pública";"";"";"116";"Ciuda026"
"117";"1";"307";"";"Relación detenciones y denuncias por delitos contra la propiedad";"";"";"117";"Ciuda017"
"118";"1";"308";"";"Relación detenciones y denuncias por delitos contra las personas";"";"";"118";"Ciuda019"
"119";"1";"309";"";"Relación detenciones y denuncias por delitos contra la seguridad pública";"";"";"119";"Ciuda018"
"121";"1";"255";"";"Distribución del ingreso según deciles";"";"";"121";"Desig010"
"123";"1";"257";"";"Distribución del consumo según deciles";"";"";"123";"Desig007"
"124";"1";"258";"";"Índice de Desarrollo Relativo a Género (IDG)";"";"";"124";"Desig018"
"125";"1";"259";"";"Índice de Potenciación de Género (IPG)";"";"";"125";"Desig020"
"126";"1";"";"";"Ingreso promedio familiar per capital según deciles";"";"";"126";"Desig023"
"129";"1";"260";"";"Personas que habitan viviendas con características físicas inadecuadas";"";"";"129";"Desig032"
"130";"1";"260";"";"Personas que habitan viviendas con servicios inadecuados";"";"";"130";"Desig033"
"131";"1";"260";"";"Personas en hogares con alta dependencia económica";"";"";"131";"Desig029"
"132";"1";"260";"";"Personas en hogares con niños/as que no asisten a la escuela";"";"";"132";"Desig031"
"133";"1";"260";"";"Personas en hogares con hacinamiento crítico";"";"";"133";"Desig030"
"136";"1";"263";"";"Brecha de la pobreza de consumo";"";"";"136";"Desig003"
"137";"1";"264";"";"Brecha de la extrema pobreza de consumo";"";"";"137";"Desig002"
"138";"1";"265";"";"Severidad de la pobreza de consumo";"";"";"138";"Desig037"
"139";"1";"266";"";"Severidad de la extrema pobreza de consumo";"";"";"139";"Desig036"
"140";"1";"267";"";"Líneas de pobreza y extrema pobreza de consumo";"";"";"140";"Desig026"
